,,SOLFEGE GAMES,,,,Rightmost columns are reminders of updates needed to individual games,,,Game Updates Needed,,,,,,,,
,70750,GAM-,2980-5,REVIEW,Rhythm Factory 4,Hear two rhythms that include groups of four 16th notes and tell which one was played,,2980,T,,,,,,L,,
,33250,GAM-,3000-1,LEARN,Rhythm Math 1,Supply the missing note or rest in a measure.  Note & rest values through eighth-note pairs,,3000,T,,,,,,L,,
,33300,GAM-,3000-2,PLAY,Rhythm Math 1,Supply the missing note or rest in a measure.  Note & rest values through eighth-note pairs,,3000,T,,,,,,L,,
,33350,GAM-,3000-3,QUIZ,Rhythm Math 1,Supply the missing note or rest in a measure.  Note & rest values through eighth-note pairs,,3000,T,,,,,,L,,
,40000,GAM-,3000-5,REVIEW,Rhythm Math 1,Supply the missing note or rest in a measure.  Note & rest values through eighth-note pairs,,3000,T,,,,,,L,,
,03900,GAM-,3020-1,LEARN,Rhythm Pix 1,Is this rhythm the same or different from the one you hear? Quarter notes and rests,,3020,T,,,,,,L,,
,03950,GAM-,3020-2,PLAY,Rhythm Pix 1,Is this rhythm the same or different from the one you hear? Quarter notes and rests,,3020,T,,,,,,L,,
,04000,GAM-,3020-3,QUIZ,Rhythm Pix 1,Is this rhythm the same or different from the one you hear? Quarter notes and rests,,3020,T,,,,,,L,,
,06050,GAM-,3020-5,REVIEW,Rhythm Pix 1,Is this rhythm the same or different from the one you hear? Quarter notes and rests,,3020,T,,,,,,L,,
,32800,GAM-,3030-1,LEARN,Rhythm Pix 2,Is this rhythm the same or different from the one you hear? Quarter notes and eighth-note pairs,,3030,T,,,,,,L,,
,32850,GAM-,3030-2,PLAY,Rhythm Pix 2,Is this rhythm the same or different from the one you hear? Quarter notes and eighth-note pairs,,3030,T,,,,,,L,,
,32900,GAM-,3030-3,QUIZ,Rhythm Pix 2,Is this rhythm the same or different from the one you hear? Quarter notes and eighth-note pairs,,3030,T,,,,,,L,,
,34200,GAM-,3030-5,REVIEW,Rhythm Pix 2,Is this rhythm the same or different from the one you hear? Quarter notes and eighth-note pairs,,3030,T,,,,,,L,,
,45600,GAM-,3040-1,LEARN,Rhythm Pix 3,"Same or different from the one you hear? Quarter notes, rests, eighth note pairs and ties ",,3040,T,,,,,,L,,
,45650,GAM-,3040-2,PLAY,Rhythm Pix 3,"Same or different from the one you hear? Quarter notes, rests, eighth note pairs and ties ",,3040,T,,,,,,L,,
,45700,GAM-,3040-3,QUIZ,Rhythm Pix 3,"Same or different from the one you hear? Quarter notes, rests, eighth note pairs and ties ",,3040,T,,,,,,L,,
,46600,GAM-,3040-5,REVIEW,Rhythm Pix 3,"Same or different from the one you hear? Quarter notes, rests, eighth note pairs and ties ",,3040,T,,,,,,L,,
,50850,GAM-,3050-1,LEARN,Rhythm Pix 4,"Is this rhythm the same or different from the one you hear? Quarter notes, rests, dotted quarter-eighth note  ",,3050,T,,,,,,L,,
,50900,GAM-,3050-2,PLAY,Rhythm Pix 4,"Is this rhythm the same or different from the one you hear? Quarter notes, rests, dotted quarter-eighth note  ",,3050,T,,,,,,L,,
,50950,GAM-,3050-3,QUIZ,Rhythm Pix 4,"Is this rhythm the same or different from the one you hear? Quarter notes, rests, dotted quarter-eighth note  ",,3050,T,,,,,,L,,
,53700,GAM-,3050-5,REVIEW,Rhythm Pix 4,"Is this rhythm the same or different from the one you hear? Quarter notes, rests, dotted quarter-eighth note  ",,3050,T,,,,,,L,,
,04200,GAM-,3060-1,LEARN,Rhythm Pop 1,"How many beats?  Quarter, half, and whole notes",,3060,T,,,,,,L,,
,04250,GAM-,3060-2,PLAY,Rhythm Pop 1,"How many beats?  Quarter, half, and whole notes",,3060,T,,,,,,L,,
,04300,GAM-,3060-3,QUIZ,Rhythm Pop 1,"How many beats?  Quarter, half, and whole notes",,3060,T,,,,,,L,,
,06400,GAM-,3060-5,REVIEW,Rhythm Pop 1,"How many beats?  Quarter, half, and whole notes",,3060,T,,,,,,L,,
,07100,GAM-,3070-1,LEARN,Rhythm Pop 1A,"How many beats?  Quarter, half, dotted half and whole notes",,3070,T,,,,,,L,,
,07150,GAM-,3070-2,PLAY,Rhythm Pop 1A,"How many beats?  Quarter, half, dotted half and whole notes",,3070,T,,,,,,L,,
,07200,GAM-,3070-3,QUIZ,Rhythm Pop 1A,"How many beats?  Quarter, half, dotted half and whole notes",,3070,T,,,,,,L,,
,08350,GAM-,3070-5,REVIEW,Rhythm Pop 1A,"How many beats?  Quarter, half, dotted half and whole notes",,3070,T,,,,,,L,,
,12600,GAM-,3070-1,LEARN,Rhythm Pop 1A,"How many beats?  Quarter, half, dotted half and whole notes",,3070,T,,,,,,L,,
,12650,GAM-,3070-2,PLAY,Rhythm Pop 1A,"How many beats?  Quarter, half, dotted half and whole notes",,3070,T,,,,,,L,,
,12700,GAM-,3070-3,QUIZ,Rhythm Pop 1A,"How many beats?  Quarter, half, dotted half and whole notes",,3070,T,,,,,,L,,
,16150,GAM-,3080-1,LEARN,Rhythm Pop 2,"How many beats?  Quarter, half, dotted half and whole notes, and quarter rests ",,3080,T,,,,,,L,,
,16200,GAM-,3080-2,PLAY,Rhythm Pop 2,"How many beats?  Quarter, half, dotted half and whole notes, and quarter rests ",,3080,T,,,,,,L,,
,16250,GAM-,3080-3,QUIZ,Rhythm Pop 2,"How many beats?  Quarter, half, dotted half and whole notes, and quarter rests ",,3080,T,,,,,,L,,
,17250,GAM-,3080-5,REVIEW,Rhythm Pop 2,"How many beats?  Quarter, half, dotted half and whole notes, and quarter rests ",,3080,T,,,,,,L,,
,20300,GAM-,3090-1,LEARN,Rhythm Pop 3,How many beats? - Adds half and whole rests and ties ,,3090,T,,,,,,L,,
,20350,GAM-,3090-2,PLAY,Rhythm Pop 3,How many beats? - Adds half and whole rests and ties ,,3090,T,,,,,,L,,
,20400,GAM-,3090-3,QUIZ,Rhythm Pop 3,How many beats? - Adds half and whole rests and ties ,,3090,T,,,,,,L,,
,21850,GAM-,3090-5,REVIEW,Rhythm Pop 3,How many beats? - Adds half and whole rests and ties ,,3090,T,,,,,,L,,
,30800,GAM-,3090-1,LEARN,Rhythm Pop 3,How many beats? - Adds half and whole rests and ties ,,3090,T,,,,,,L,,
,30850,GAM-,3090-2,PLAY,Rhythm Pop 3,How many beats? - Adds half and whole rests and ties ,,3090,T,,,,,,L,,
,30900,GAM-,3090-3,QUIZ,Rhythm Pop 3,How many beats? - Adds half and whole rests and ties ,,3090,T,,,,,,L,,
,53550,GAM-,3100-1,LEARN,Rhythm Pop 4,"How many beats? - Adds dotted quarter, eighth note & rest, plus eighth-note pairs",,3100,T,,,,,,L,,
,53600,GAM-,3100-2,PLAY,Rhythm Pop 4,"How many beats? - Adds dotted quarter, eighth note & rest, plus eighth-note pairs",,3100,T,,,,,,L,,
,53650,GAM-,3100-3,QUIZ,Rhythm Pop 4,"How many beats? - Adds dotted quarter, eighth note & rest, plus eighth-note pairs",,3100,T,,,,,,L,,
,56100,GAM-,3100-5,REVIEW,Rhythm Pop 4,"How many beats? - Adds dotted quarter, eighth note & rest, plus eighth-note pairs",,3100,T,,,,,,L,,
,59500,GAM-,3110-1,LEARN,Rhythm Pop 5,How many beats? - note values in 3-8 and 6-8,,3110,T,,,,,,L,,
,59550,GAM-,3110-2,PLAY,Rhythm Pop 5,How many beats? - note values in 3-8 and 6-8,,3110,T,,,,,,L,,
,59600,GAM-,3110-3,QUIZ,Rhythm Pop 5,How many beats? - note values in 3-8 and 6-8,,3110,T,,,,,,L,,
,63000,GAM-,3110-5,REVIEW,Rhythm Pop 5,How many beats? - note values in 3-8 and 6-8,,3110,T,,,,,,L,,
,04900,GAM-,3120-1,LEARN,Rhythm Rally 1,Which one-measure rhythm is played?  Quarter notes and quarter rests,,3120,T,,,,,,L,,
,04950,GAM-,3120-2,PLAY,Rhythm Rally 1,Which one-measure rhythm is played?  Quarter notes and quarter rests,,3120,T,,,,,,L,,
,05000,GAM-,3120-3,QUIZ,Rhythm Rally 1,Which one-measure rhythm is played?  Quarter notes and quarter rests,,3120,T,,,,,,L,,
,06900,GAM-,3120-5,REVIEW,Rhythm Rally 1,Which one-measure rhythm is played?  Quarter notes and quarter rests,,3120,T,,,,,,L,,
,05350,GAM-,3130-1,LEARN,Rhythm Rally 1A,Which one-measure rhythm is played?  Quarter notes and half notes,,3130,T,,,,,,L,,
,05400,GAM-,3130-2,PLAY,Rhythm Rally 1A,Which one-measure rhythm is played?  Quarter notes and half notes,,3130,T,,,,,,L,,
,05450,GAM-,3130-3,QUIZ,Rhythm Rally 1A,Which one-measure rhythm is played?  Quarter notes and half notes,,3130,T,,,,,,L,,
,07400,GAM-,3140-1,LEARN,Rhythm Rally 2,"Which one-measure rhythm is played?  Quarter, half, dotted half and whole notes. ",,3140,T,,,,,,L,,
,07450,GAM-,3140-2,PLAY,Rhythm Rally 2,"Which one-measure rhythm is played?  Quarter, half, dotted half and whole notes. ",,3140,T,,,,,,L,,
,07500,GAM-,3140-3,QUIZ,Rhythm Rally 2,"Which one-measure rhythm is played?  Quarter, half, dotted half and whole notes. ",,3140,T,,,,,,L,,
,08600,GAM-,3140-5,REVIEW,Rhythm Rally 2,"Which one-measure rhythm is played?  Quarter, half, dotted half and whole notes. ",,3140,T,,,,,,L,,
,18750,GAM-,3140-1,LEARN,Rhythm Rally 2,"Which one-measure rhythm is played?  Quarter, half, dotted half and whole notes. ",,3140,T,,,,,,L,,
,18800,GAM-,3140-2,PLAY,Rhythm Rally 2,"Which one-measure rhythm is played?  Quarter, half, dotted half and whole notes. ",,3140,T,,,,,,L,,
,18850,GAM-,3140-3,QUIZ,Rhythm Rally 2,"Which one-measure rhythm is played?  Quarter, half, dotted half and whole notes. ",,3140,T,,,,,,L,,
,21150,GAM-,3150-1,LEARN,Rhythm Regatta 1,"See 2 rhythms, choose which one you hear.  Quarter, half, dotted half, whole notes.",,3150,T,,,,,,L,,
,21200,GAM-,3150-2,PLAY,Rhythm Regatta 1,"See 2 rhythms, choose which one you hear.  Quarter, half, dotted half, whole notes.",,3150,T,,,,,,L,,
,21250,GAM-,3150-3,QUIZ,Rhythm Regatta 1,"See 2 rhythms, choose which one you hear.  Quarter, half, dotted half, whole notes.",,3150,T,,,,,,L,,
,23850,GAM-,3150-5,REVIEW,Rhythm Regatta 1,"See 2 rhythms, choose which one you hear.  Quarter, half, dotted half, whole notes.",,3150,T,,,,,,L,,
,24500,GAM-,3160-1,LEARN,Rhythm Regatta 2,"See 2 rhythms, choose which one you hear.  Quarter notes and rests, half notes and rests. ",,3160,T,,,,,,L,,
,24550,GAM-,3160-2,PLAY,Rhythm Regatta 2,"See 2 rhythms, choose which one you hear.  Quarter notes and rests, half notes and rests. ",,3160,T,,,,,,L,,
,24600,GAM-,3160-3,QUIZ,Rhythm Regatta 2,"See 2 rhythms, choose which one you hear.  Quarter notes and rests, half notes and rests. ",,3160,T,,,,,,L,,
,26250,GAM-,3160-5,REVIEW,Rhythm Regatta 2,"See 2 rhythms, choose which one you hear.  Quarter notes and rests, half notes and rests. ",,3160,T,,,,,,L,,
,33550,GAM-,3170-1,LEARN,Rhythm Regatta 3,Hear a rhythm and choose which notated pattern was played.Quarter notes and eighth-note pairs,,3170,T,,,,,,L,,
,33600,GAM-,3170-2,PLAY,Rhythm Regatta 3,Hear a rhythm and choose which notated pattern was played.Quarter notes and eighth-note pairs,,3170,T,,,,,,L,,
,33650,GAM-,3170-3,QUIZ,Rhythm Regatta 3,Hear a rhythm and choose which notated pattern was played.Quarter notes and eighth-note pairs,,3170,T,,,,,,L,,
,39850,GAM-,3170-5,REVIEW,Rhythm Regatta 3,Hear a rhythm and choose which notated pattern was played.Quarter notes and eighth-note pairs,,3170,T,,,,,,L,,
,42200,GAM-,3180-1,LEARN,Rhythm Regatta 4,Which one-measure rhythm is played?  Quarter tied to eighth-note pairs,,3180,T,,,,,,L,,
,42250,GAM-,3180-2,PLAY,Rhythm Regatta 4,Which one-measure rhythm is played?  Quarter tied to eighth-note pairs,,3180,T,,,,,,L,,
,42300,GAM-,3180-3,QUIZ,Rhythm Regatta 4,Which one-measure rhythm is played?  Quarter tied to eighth-note pairs,,3180,T,,,,,,L,,
,46050,GAM-,3180-5,REVIEW,Rhythm Regatta 4,Which one-measure rhythm is played?  Quarter tied to eighth-note pairs,,3180,T,,,,,,L,,
,53900,GAM-,3190-1,LEARN,Rhythm Regatta 5,"Hear a rhythm and choose which notated pattern was played.Quarter notes, dotted quarter- eighth-notes",,3190,T,,,,,,L,,
,53950,GAM-,3190-2,PLAY,Rhythm Regatta 5,"Hear a rhythm and choose which notated pattern was played.Quarter notes, dotted quarter- eighth-notes",,3190,T,,,,,,L,,
,54000,GAM-,3190-3,QUIZ,Rhythm Regatta 5,"Hear a rhythm and choose which notated pattern was played.Quarter notes, dotted quarter- eighth-notes",,3190,T,,,,,,L,,
,56450,GAM-,3190-5,REVIEW,Rhythm Regatta 5,"Hear a rhythm and choose which notated pattern was played.Quarter notes, dotted quarter- eighth-notes",,3190,T,,,,,,L,,
,24100,GAM-,3210-1,LEARN,Rhythm Rockets 1,"See a rhythm, then choose from 4 rhythms you hear: Quarter notes & rests",,3210,T,,,,,,L,,
,24150,GAM-,3210-2,PLAY,Rhythm Rockets 1,"See a rhythm, then choose from 4 rhythms you hear: Quarter notes & rests",,3210,T,,,,,,L,,
,24200,GAM-,3210-3,QUIZ,Rhythm Rockets 1,"See a rhythm, then choose from 4 rhythms you hear: Quarter notes & rests",,3210,T,,,,,,L,,
,28500,GAM-,3210-5,REVIEW,Rhythm Rockets 1,"See a rhythm, then choose from 4 rhythms you hear: Quarter notes & rests",,3210,T,,,,,,L,,
,41450,GAM-,3220-1,LEARN,Rhythm Rockets 2,"Hear, then identify patterns of quarter notes and eighth-note pairs",,3220,T,,,,,,L,,
,41500,GAM-,3220-2,PLAY,Rhythm Rockets 2,"Hear, then identify patterns of quarter notes and eighth-note pairs",,3220,T,,,,,,L,,
,41550,GAM-,3220-3,QUIZ,Rhythm Rockets 2,"Hear, then identify patterns of quarter notes and eighth-note pairs",,3220,T,,,,,,L,,
,45750,GAM-,3220-5,REVIEW,Rhythm Rockets 2,"Hear, then identify patterns of quarter notes and eighth-note pairs",,3220,T,,,,,,L,,
,54600,GAM-,3230-1,LEARN,Rhythm Rockets 3,"Hear then identify patterns of quarter notes, dotted quarter notes, eighths & eighth-note pairs",,3230,T,,,,,,L,,
,54650,GAM-,3230-2,PLAY,Rhythm Rockets 3,"Hear then identify patterns of quarter notes, dotted quarter notes, eighths & eighth-note pairs",,3230,T,,,,,,L,,
,54700,GAM-,3230-3,QUIZ,Rhythm Rockets 3,"Hear then identify patterns of quarter notes, dotted quarter notes, eighths & eighth-note pairs",,3230,T,,,,,,L,,
,58200,GAM-,3230-5,REVIEW,Rhythm Rockets 3,"Hear then identify patterns of quarter notes, dotted quarter notes, eighths & eighth-note pairs",,3230,T,,,,,,L,,
,70300,GAM-,3240-1,LEARN,Rhythm Rockets 4,Hear 4 rhythms and choose which one matches the written rhythm - triplets,,3240,T,,,,,,L,,
,70350,GAM-,3240-2,PLAY,Rhythm Rockets 4,Hear 4 rhythms and choose which one matches the written rhythm - triplets,,3240,T,,,,,,L,,
,70400,GAM-,3240-3,QUIZ,Rhythm Rockets 4,Hear 4 rhythms and choose which one matches the written rhythm - triplets,,3240,T,,,,,,L,,
,75050,GAM-,3240-5,REVIEW,Rhythm Rockets 4,Hear 4 rhythms and choose which one matches the written rhythm - triplets,,3240,T,,,,,,L,,
,72050,GAM-,3250-1,LEARN,Rhythm Rockets 5,Hear 4 rhythms and choose which one matches the written rhythm - 16th-note patterns,,3250,T,,,,,,L,,
,72100,GAM-,3250-2,PLAY,Rhythm Rockets 5,Hear 4 rhythms and choose which one matches the written rhythm - 16th-note patterns,,3250,T,,,,,,L,,
,72150,GAM-,3250-3,QUIZ,Rhythm Rockets 5,Hear 4 rhythms and choose which one matches the written rhythm - 16th-note patterns,,3250,T,,,,,,L,,
,78250,GAM-,3250-5,REVIEW,Rhythm Rockets 5,Hear 4 rhythms and choose which one matches the written rhythm - 16th-note patterns,,3250,T,,,,,,L,,
,07750,GAM-,3260-1,LEARN,Rhythm Writer 1,Place Barlines in the right places in 4-4 time,,3260,T,,,,,,L,,
,07800,GAM-,3260-2,PLAY,Rhythm Writer 1,Place Barlines in the right places in 4-4 time,,3260,T,,,,,,L,,
,07850,GAM-,3260-3,QUIZ,Rhythm Writer 1,Place Barlines in the right places in 4-4 time,,3260,T,,,,V,,L,,
,10950,GAM-,3270-1,LEARN,Rhythm Writer 2,"Add the beats in a measure, then drag the one note that completes the measure",,3270,T,,,,,,L,,
,11000,GAM-,3270-2,PLAY,Rhythm Writer 2,"Add the beats in a measure, then drag the one note that completes the measure",,3270,T,,,,,,L,,
,11050,GAM-,3270-3,QUIZ,Rhythm Writer 2,"Add the beats in a measure, then drag the one note that completes the measure",,3270,T,,,,,,L,,
,12350,GAM-,3270-5,REVIEW,Rhythm Writer 2,"Add the beats in a measure, then drag the one note that completes the measure",,3270,T,,,,,,L,,
,21000,GAM-,3280-1,LEARN,Rhythm Writer 3,Place Barlines and do the math in 4-4 time,,3280,T,,,,,,L,,
,21050,GAM-,3280-2,PLAY,Rhythm Writer 3,Place Barlines and do the math in 4-4 time,,3280,T,,,,,,L,,
,21100,GAM-,3280-3,QUIZ,Rhythm Writer 3,Place Barlines and do the math in 4-4 time,,3280,T,,,,,,L,,
,22150,GAM-,3280-5,REVIEW,Rhythm Writer 3,Place Barlines and do the math in 4-4 time,,3280,T,,,,,,L,,
,54750,GAM-,3290-1,LEARN,Rhythm Writer 4,Place the barlines in 3-4 and 4-4 rhythms with eighth-note syncopation,,3290,T,,,,,,L,,
,54800,GAM-,3290-2,PLAY,Rhythm Writer 4,Place the barlines in 3-4 and 4-4 rhythms with eighth-note syncopation,,3290,T,,,,,,L,,
,54850,GAM-,3290-3,QUIZ,Rhythm Writer 4,Place the barlines in 3-4 and 4-4 rhythms with eighth-note syncopation,,3290,T,,,,,,L,,
,57850,GAM-,3290-5,REVIEW,Rhythm Writer 4,Place the barlines in 3-4 and 4-4 rhythms with eighth-note syncopation,,3290,T,,,,,,L,,
,59200,GAM-,3300-1,LEARN,Rhythm Writer 5,Place the barlines in 3-8 rhythms,,3300,T,,,,,,L,,
,59250,GAM-,3300-2,PLAY,Rhythm Writer 5,Place the barlines in 3-8 rhythms,,3300,T,,,,,,L,,
,59300,GAM-,3300-3,QUIZ,Rhythm Writer 5,Place the barlines in 3-8 rhythms,,3300,T,,,,,,L,,
,62350,GAM-,3300-5,REVIEW,Rhythm Writer 5,Place the barlines in 3-8 rhythms,,3300,T,,,,,,L,,
,60750,GAM-,3310-1,LEARN,Rhythm Writer 6,Place the barlines in 6-8 rhythms,,3310,T,,,,,,L,,
,60800,GAM-,3310-2,PLAY,Rhythm Writer 6,Place the barlines in 6-8 rhythms,,3310,T,,,,,,L,,
,60850,GAM-,3310-3,QUIZ,Rhythm Writer 6,Place the barlines in 6-8 rhythms,,3310,T,,,,,,L,,
,63900,GAM-,3310-5,REVIEW,Rhythm Writer 6,Place the barlines in 6-8 rhythms,,3310,T,,,,,,L,,
,01350,GAM-,3360-1,LEARN,Smiley & Friends-Rhythm 1,Aural matching of quarter note and quarter rest patterns.,,3360,T,,,,,,L,,
,01400,GAM-,3360-2,PLAY,Smiley & Friends-Rhythm 1,Aural matching of quarter note and quarter rest patterns.,,3360,T,,,,,,L,,
,01450,GAM-,3360-3,QUIZ,Smiley & Friends-Rhythm 1,Aural matching of quarter note and quarter rest patterns.,,3360,T,,,,,,L,,
,03000,GAM-,3360-5,REVIEW,Smiley & Friends-Rhythm 1,Aural matching of quarter note and quarter rest patterns.,,3360,T,,,,,,L,,
,00450,GAM-,3370-1,LEARN,Smiley and Friends 1,Hear Tunes -- Same or different,,3370,T,,,,,,L,,
,00500,GAM-,3370-2,PLAY,Smiley and Friends 1,Hear Tunes -- Same or different,,3370,T,,,,,,L,,
,00550,GAM-,3370-3,QUIZ,Smiley and Friends 1,Hear Tunes -- Same or different,,3370,T,,,,,,L,,
,02400,GAM-,3380-1,LEARN,Smiley and Friends 2,Hear Two note patterns -- Same or different?,,3380,T,,,,,,L,,
,02450,GAM-,3380-2,PLAY,Smiley and Friends 2,Hear Two note patterns -- Same or different?,,3380,T,,,,,,L,,
,02500,GAM-,3380-3,QUIZ,Smiley and Friends 2,Hear Two note patterns -- Same or different?,,3380,T,,,,,,L,,
,14250,GAM-,3390-1,LEARN,Snowball Stems 1,Identify whether the stem direction of a note is correct or incorrect. ,,3390,T,,,,,,L,,
,14300,GAM-,3390-2,PLAY,Snowball Stems 1,Identify whether the stem direction of a note is correct or incorrect. ,,3390,T,,,,,,L,,
,14350,GAM-,3390-3,QUIZ,Snowball Stems 1,Identify whether the stem direction of a note is correct or incorrect. ,,3390,T,,,,,,L,,
,17450,GAM-,3390-5,REVIEW,Snowball Stems 1,Identify whether the stem direction of a note is correct or incorrect. ,,3390,T,,,,,,L,,
,01500,GAM-,3400-2,PLAY,Song Birds 1,Hear and play back random patterns of DO - RE -- pre-staff,,3400,T,,,,,,L,,
,01550,GAM-,3400-3,QUIZ,Song Birds 1,Hear and play back random patterns of DO - RE -- pre-staff,,3400,T,,,,,,L,,
,01600,GAM-,3400-4,CHALLENGE,Song Birds 1,Hear and play back random patterns of DO - RE -- pre-staff,,3400,T,,,,,,L,,
,02250,GAM-,3420-2,PLAY,Song Birds 2,Hear and play back random patterns of DO - RE - MI -- pre-staff,,3420,T,,,,,,L,,
,02300,GAM-,3420-3,QUIZ,Song Birds 2,Hear and play back random patterns of DO - RE - MI -- pre-staff,,3420,T,,,,,,L,,
,02350,GAM-,3420-4,CHALLENGE,Song Birds 2,Hear and play back random patterns of DO - RE - MI -- pre-staff,,3420,T,,,,,,L,,
,03400,GAM-,3420-5,REVIEW,Song Birds 2,Hear and play back random patterns of DO - RE - MI -- pre-staff,,3420,T,,,,,,L,,
,04500,GAM-,3440-2,PLAY,Song Birds 3,Hear and play back random patterns of DO - RE - MI - SOL -- pre-staff,,3440,T,,,,,,L,,
,04550,GAM-,3440-3,QUIZ,Song Birds 3,Hear and play back random patterns of DO - RE - MI - SOL -- pre-staff,,3440,T,,,,,,L,,
,06300,GAM-,3440-5,REVIEW,Song Birds 3,Hear and play back random patterns of DO - RE - MI - SOL -- pre-staff,,3440,T,,,,,,L,,
,10500,GAM-,3460-2,PLAY,Song Birds 4,Hear and play back random patterns of DO - RE - MI - FA - SOL -- pre-staff,,3460,T,,,,,,L,,
,10550,GAM-,3460-3,QUIZ,Song Birds 4,Hear and play back random patterns of DO - RE - MI - FA - SOL -- pre-staff,,3460,T,,,,,,L,,
,10600,GAM-,3460-4,CHALLENGE,Song Birds 4,Hear and play back random patterns of DO - RE - MI - FA - SOL -- pre-staff,,3460,T,,,,,,L,,
,12400,GAM-,3460-5,REVIEW,Song Birds 4,Hear and play back random patterns of DO - RE - MI - FA - SOL -- pre-staff,,3460,T,,,,,,L,,
,13650,GAM-,3460-2,PLAY,Song Birds 4,Hear and play back random patterns of DO - RE - MI - FA - SOL -- pre-staff,,3460,T,,,,,,L,,
,13700,GAM-,3460-3,QUIZ,Song Birds 4,Hear and play back random patterns of DO - RE - MI - FA - SOL -- pre-staff,,3460,T,,,,,,L,,
,00150,GAM-,3480-1,LEARN,Songbirds High and Low,Identify high sounds and low sounds,,3480,T,,,,,,L,,
,00200,GAM-,3480-2,PLAY,Songbirds High and Low,Identify high sounds and low sounds,,3480,T,,,,,,L,,
,00250,GAM-,3480-3,QUIZ,Songbirds High and Low,Identify high sounds and low sounds,,3480,T,,,,V,,L,,
,43450,GAM-,3490-1,LEARN,Songbirds Major & minor,Aurally identify pentascales as Major or minor,,3490,T,,,,,,L,,
,43500,GAM-,3490-2,PLAY,Songbirds Major & minor,Aurally identify pentascales as Major or minor,,3490,T,,,,,,L,,
,43550,GAM-,3490-3,QUIZ,Songbirds Major & minor,Aurally identify pentascales as Major or minor,,3490,T,,,,,,L,,
,46100,GAM-,3490-5,REVIEW,Songbirds Major & minor,Aurally identify pentascales as Major or minor,,3490,T,,,,,,L,,
,05050,GAM-,3500-2,PLAY,Staff Birds 1,Hear and play back random patterns of C and D -- birds on staff,,3500,T,,,,,,L,,
,05100,GAM-,3500-3,QUIZ,Staff Birds 1,Hear and play back random patterns of C and D -- birds on staff,,3500,T,,,,,,L,,
,07250,GAM-,3520-2,PLAY,Staff Birds 2,Hear and play back random patterns of C  D  E -- birds on staff,,3520,T,,,,,,L,,
,07300,GAM-,3520-3,QUIZ,Staff Birds 2,Hear and play back random patterns of C  D  E -- birds on staff,,3520,T,,,,,,L,,
,07950,GAM-,3540-2,PLAY,Staff Birds 3,Hear and play back random patterns of F  G  A -- birds on staff,,3540,T,,,,,,L,,
,08000,GAM-,3540-3,QUIZ,Staff Birds 3,Hear and play back random patterns of F  G  A -- birds on staff,,3540,T,,,,,,L,,
,09950,GAM-,3560-2,PLAY,Staff Birds 4,Hear and play back random patterns of 4 notes C D E G-- birds on staff,,3560,T,,,,,,L,,
,10000,GAM-,3560-3,QUIZ,Staff Birds 4,Hear and play back random patterns of 4 notes C D E G-- birds on staff,,3560,T,,,,,,L,,
,25350,GAM-,3580-2,PLAY,Staff Birds 5,Hear and play back random patterns of 4 notes F G A C-- birds on staff,,3580,T,,,,,,L,,
,25400,GAM-,3580-3,QUIZ,Staff Birds 5,Hear and play back random patterns of 4 notes F G A C-- birds on staff,,3580,T,,,,V,,L,,
,22900,GAM-,3600-2,PLAY,Staff Birds 6,Hear and play back random patterns of 4 notes G A B D-- birds on staff,,3600,T,,,,,,L,,
,22950,GAM-,3600-3,QUIZ,Staff Birds 6,Hear and play back random patterns of 4 notes G A B D-- birds on staff,,3600,T,,,,,,L,,
,18300,GAM-,3620-2,PLAY,Staff Birds 7,Hear and play back random patterns of 5 notes C D E F G-- birds on staff,,3620,T,,,,,,L,,
,18350,GAM-,3620-3,QUIZ,Staff Birds 7,Hear and play back random patterns of 5 notes C D E F G-- birds on staff,,3620,T,,,,V,,L,,
,21950,GAM-,3620-5,REVIEW,Staff Birds 7,Hear and play back random patterns of 5 notes C D E F G-- birds on staff,,3620,T,,,,,,L,,
,24400,GAM-,3640-2,PLAY,Staff Birds 8,Hear and play back random patterns of 5 notes G A B C D-- birds on staff,,3640,T,,,,,,L,,
,24450,GAM-,3640-3,QUIZ,Staff Birds 8,Hear and play back random patterns of 5 notes G A B C D-- birds on staff,,3640,T,,,,,,L,,
,26500,GAM-,3640-5,REVIEW,Staff Birds 8,Hear and play back random patterns of 5 notes G A B C D-- birds on staff,,3640,T,,,,,,L,,
,01650,GAM-,3660-1,LEARN,Steady As She Goes,Hear a portion of a song. Is the beat steady or unsteady?,,3660,T,,,,,,L,,
,01700,GAM-,3660-2,PLAY,Steady As She Goes,Hear a portion of a song. Is the beat steady or unsteady?,,3660,T,,,,,,L,,
,01750,GAM-,3660-3,QUIZ,Steady As She Goes,Hear a portion of a song. Is the beat steady or unsteady?,,3660,T,,,,,,L,,
,03300,GAM-,3660-5,REVIEW,Steady As She Goes,Hear a portion of a song. Is the beat steady or unsteady?,,3660,T,,,,,,L,,
,08200,GAM-,3670-1,LEARN,Step Right Up 1,Visually identify notes as on lines or spaces ,,3670,T,,,,,,L,,
,08250,GAM-,3670-2,PLAY,Step Right Up 1,Visually identify notes as on lines or spaces ,,3670,T,,,,,,L,,
,08300,GAM-,3670-3,QUIZ,Step Right Up 1,Visually identify notes as on lines or spaces ,,3670,T,,,,V,,L,,
,09400,GAM-,3690-1,LEARN,Step Right Up 3,"Visually identify two notes as a step up, step down or skip up and skip down ",,3690,T,,,,,,L,,
