,,,,,,,
,,MONTHLY,,ANNUAL,,,Annual
,3800,$417.15 ,"$5,005.80 ",0.110,$1.32 ,,0.000
,3805,$417.55 ,"$5,010.60 ",0.110,$1.32 ,,0.000
,3810,$417.95 ,"$5,015.40 ",0.110,$1.32 ,,0.000
,3815,$418.35 ,"$5,020.20 ",0.110,$1.32 ,,0.000
,3820,$418.75 ,"$5,025.00 ",0.110,$1.32 ,,0.000
,3825,$419.15 ,"$5,029.80 ",0.110,$1.31 ,,0.000
,3830,$419.55 ,"$5,034.60 ",0.110,$1.31 ,,0.000
,3835,$419.95 ,"$5,039.40 ",0.110,$1.31 ,,0.000
,3840,$420.35 ,"$5,044.20 ",0.109,$1.31 ,,0.000
,3845,$420.75 ,"$5,049.00 ",0.109,$1.31 ,,0.000
,3850,$421.15 ,"$5,053.80 ",0.109,$1.31 ,,0.000
,3855,$421.55 ,"$5,058.60 ",0.109,$1.31 ,,0.000
,3860,$421.95 ,"$5,063.40 ",0.109,$1.31 ,,0.000
,3865,$422.35 ,"$5,068.20 ",0.109,$1.31 ,,0.000
,3870,$422.75 ,"$5,073.00 ",0.109,$1.31 ,,0.000
,3875,$423.15 ,"$5,077.80 ",0.109,$1.31 ,,0.000
,3880,$423.55 ,"$5,082.60 ",0.109,$1.31 ,,0.000
,3885,$423.95 ,"$5,087.40 ",0.109,$1.31 ,,0.000
,3890,$424.35 ,"$5,092.20 ",0.109,$1.31 ,,0.000
,3895,$424.75 ,"$5,097.00 ",0.109,$1.31 ,,0.000
,3900,$425.15 ,"$5,101.80 ",0.109,$1.31 ,,0.000
,3905,$425.55 ,"$5,106.60 ",0.109,$1.31 ,,0.000
,3910,$425.95 ,"$5,111.40 ",0.109,$1.31 ,,0.000
,3915,$426.35 ,"$5,116.20 ",0.109,$1.31 ,,0.000
,3920,$426.75 ,"$5,121.00 ",0.109,$1.31 ,,0.000
,3925,$427.15 ,"$5,125.80 ",0.109,$1.31 ,,0.000
,3930,$427.55 ,"$5,130.60 ",0.109,$1.31 ,,0.000
,3935,$427.95 ,"$5,135.40 ",0.109,$1.31 ,,0.000
,3940,$428.35 ,"$5,140.20 ",0.109,$1.30 ,,0.000
,3945,$428.75 ,"$5,145.00 ",0.109,$1.30 ,,0.000
,3950,$429.15 ,"$5,149.80 ",0.109,$1.30 ,,0.000
,3955,$429.55 ,"$5,154.60 ",0.109,$1.30 ,,0.000
,3960,$429.95 ,"$5,159.40 ",0.109,$1.30 ,,0.000
,3965,$430.35 ,"$5,164.20 ",0.109,$1.30 ,,0.000
,3970,$430.75 ,"$5,169.00 ",0.109,$1.30 ,,0.000
,3975,$431.15 ,"$5,173.80 ",0.108,$1.30 ,,0.000
,3980,$431.55 ,"$5,178.60 ",0.108,$1.30 ,,0.000
,3985,$431.95 ,"$5,183.40 ",0.108,$1.30 ,,0.000
,3990,$432.35 ,"$5,188.20 ",0.108,$1.30 ,,0.000
,3995,$432.75 ,"$5,193.00 ",0.108,$1.30 ,,0.000
,4000,$433.15 ,"$5,197.80 ",0.108,$1.30 ,,0.000
,4005,$433.55 ,"$5,202.60 ",0.108,$1.30 ,,0.000
,4010,$433.95 ,"$5,207.40 ",0.108,$1.30 ,,0.000
,4015,$434.35 ,"$5,212.20 ",0.108,$1.30 ,,0.000
,4020,$434.75 ,"$5,217.00 ",0.108,$1.30 ,,0.000
,4025,$435.15 ,"$5,221.80 ",0.108,$1.30 ,,0.000
,4030,$435.55 ,"$5,226.60 ",0.108,$1.30 ,,0.000
,4035,$435.95 ,"$5,231.40 ",0.108,$1.30 ,,0.000
,4040,$436.35 ,"$5,236.20 ",0.108,$1.30 ,,0.000
,4045,$436.75 ,"$5,241.00 ",0.108,$1.30 ,,0.000
,4050,$437.15 ,"$5,245.80 ",0.108,$1.30 ,,0.000
,4055,$437.55 ,"$5,250.60 ",0.108,$1.29 ,,0.000
,4060,$437.95 ,"$5,255.40 ",0.108,$1.29 ,,0.000
,4065,$438.35 ,"$5,260.20 ",0.108,$1.29 ,,0.000
,4070,$438.75 ,"$5,265.00 ",0.108,$1.29 ,,0.000
,4075,$439.15 ,"$5,269.80 ",0.108,$1.29 ,,0.000
,4080,$439.55 ,"$5,274.60 ",0.108,$1.29 ,,0.000
,4085,$439.95 ,"$5,279.40 ",0.108,$1.29 ,,0.000
,4090,$440.35 ,"$5,284.20 ",0.108,$1.29 ,,0.000
,4095,$440.75 ,"$5,289.00 ",0.108,$1.29 ,,0.000
,4100,$441.15 ,"$5,293.80 ",0.108,$1.29 ,,0.000
,4105,$441.55 ,"$5,298.60 ",0.108,$1.29 ,,0.000
,4110,$441.95 ,"$5,303.40 ",0.108,$1.29 ,,0.000
,4115,$442.35 ,"$5,308.20 ",0.107,$1.29 ,,0.000
,4120,$442.75 ,"$5,313.00 ",0.107,$1.29 ,,0.000
,4125,$443.15 ,"$5,317.80 ",0.107,$1.29 ,,0.000
,4130,$443.55 ,"$5,322.60 ",0.107,$1.29 ,,0.000
,4135,$443.95 ,"$5,327.40 ",0.107,$1.29 ,,0.000
,4140,$444.35 ,"$5,332.20 ",0.107,$1.29 ,,0.000
,4145,$444.75 ,"$5,337.00 ",0.107,$1.29 ,,0.000
,4150,$445.15 ,"$5,341.80 ",0.107,$1.29 ,,0.000
,4155,$445.55 ,"$5,346.60 ",0.107,$1.29 ,,0.000
,4160,$445.95 ,"$5,351.40 ",0.107,$1.29 ,,0.000
,4165,$446.35 ,"$5,356.20 ",0.107,$1.29 ,,0.000
,4170,$446.75 ,"$5,361.00 ",0.107,$1.29 ,,0.000
,4175,$447.15 ,"$5,365.80 ",0.107,$1.29 ,,0.000
,4180,$447.55 ,"$5,370.60 ",0.107,$1.28 ,,0.000
,4185,$447.95 ,"$5,375.40 ",0.107,$1.28 ,,0.000
,4190,$448.35 ,"$5,380.20 ",0.107,$1.28 ,,0.000
,4195,$448.75 ,"$5,385.00 ",0.107,$1.28 ,,0.000
,4200,$449.15 ,"$5,389.80 ",0.107,$1.28 ,,0.000
,4205,$449.45 ,"$5,393.40 ",0.107,$1.28 ,,0.001
,4210,$449.75 ,"$5,397.00 ",0.107,$1.28 ,,0.001
,4215,$450.05 ,"$5,400.60 ",0.107,$1.28 ,,0.001
,4220,$450.35 ,"$5,404.20 ",0.107,$1.28 ,,0.001
,4225,$450.65 ,"$5,407.80 ",0.107,$1.28 ,,0.001
,4230,$450.95 ,"$5,411.40 ",0.107,$1.28 ,,0.001
,4235,$451.25 ,"$5,415.00 ",0.107,$1.28 ,,0.001
,4240,$451.55 ,"$5,418.60 ",0.106,$1.28 ,,0.001
,4245,$451.85 ,"$5,422.20 ",0.106,$1.28 ,,0.001
,4250,$452.15 ,"$5,425.80 ",0.106,$1.28 ,,0.001
,4255,$452.45 ,"$5,429.40 ",0.106,$1.28 ,,0.001
,4260,$452.75 ,"$5,433.00 ",0.106,$1.28 ,,0.001
,4265,$453.05 ,"$5,436.60 ",0.106,$1.27 ,,0.001
,4270,$453.35 ,"$5,440.20 ",0.106,$1.27 ,,0.001
,4275,$453.65 ,"$5,443.80 ",0.106,$1.27 ,,0.001
,4280,$453.95 ,"$5,447.40 ",0.106,$1.27 ,,0.001
,4285,$454.25 ,"$5,451.00 ",0.106,$1.27 ,,0.001
,4290,$454.55 ,"$5,454.60 ",0.106,$1.27 ,,0.001
,4295,$454.85 ,"$5,458.20 ",0.106,$1.27 ,,0.001
,4300,$455.15 ,"$5,461.80 ",0.106,$1.27 ,,0.001
,4305,$455.45 ,"$5,465.40 ",0.106,$1.27 ,,0.001
,4310,$455.75 ,"$5,469.00 ",0.106,$1.27 ,,0.001
,4315,$456.05 ,"$5,472.60 ",0.106,$1.27 ,,0.001
,4320,$456.35 ,"$5,476.20 ",0.106,$1.27 ,,0.001
,4325,$456.65 ,"$5,479.80 ",0.106,$1.27 ,,0.001
,4330,$456.95 ,"$5,483.40 ",0.106,$1.27 ,,0.001
,4335,$457.25 ,"$5,487.00 ",0.105,$1.27 ,,0.001
,4340,$457.55 ,"$5,490.60 ",0.105,$1.27 ,,0.001
,4345,$457.85 ,"$5,494.20 ",0.105,$1.26 ,,0.001
,4350,$458.15 ,"$5,497.80 ",0.105,$1.26 ,,0.001
,4355,$458.45 ,"$5,501.40 ",0.105,$1.26 ,,0.001
,4360,$458.75 ,"$5,505.00 ",0.105,$1.26 ,,0.001
,4365,$459.05 ,"$5,508.60 ",0.105,$1.26 ,,0.001
,4370,$459.35 ,"$5,512.20 ",0.105,$1.26 ,,0.001
,4375,$459.65 ,"$5,515.80 ",0.105,$1.26 ,,0.001
,4380,$459.95 ,"$5,519.40 ",0.105,$1.26 ,,0.001
,4385,$460.25 ,"$5,523.00 ",0.105,$1.26 ,,0.001
,4390,$460.55 ,"$5,526.60 ",0.105,$1.26 ,,0.001
,4395,$460.85 ,"$5,530.20 ",0.105,$1.26 ,,0.001
,4400,$461.15 ,"$5,533.80 ",0.105,$1.26 ,,0.001
,4405,$461.45 ,"$5,537.40 ",0.105,$1.26 ,,0.001
,4410,$461.75 ,"$5,541.00 ",0.105,$1.26 ,,0.001
,4415,$462.05 ,"$5,544.60 ",0.105,$1.26 ,,0.001
,4420,$462.35 ,"$5,548.20 ",0.105,$1.26 ,,0.001
,4425,$462.65 ,"$5,551.80 ",0.105,$1.25 ,,0.001
,4430,$462.95 ,"$5,555.40 ",0.105,$1.25 ,,0.001
,4435,$463.25 ,"$5,559.00 ",0.104,$1.25 ,,0.001
,4440,$463.55 ,"$5,562.60 ",0.104,$1.25 ,,0.001
,4445,$463.85 ,"$5,566.20 ",0.104,$1.25 ,,0.001
,4450,$464.15 ,"$5,569.80 ",0.104,$1.25 ,,0.001
,4455,$464.45 ,"$5,573.40 ",0.104,$1.25 ,,0.001
,4460,$464.75 ,"$5,577.00 ",0.104,$1.25 ,,0.001
,4465,$465.05 ,"$5,580.60 ",0.104,$1.25 ,,0.001
,4470,$465.35 ,"$5,584.20 ",0.104,$1.25 ,,0.001
,4475,$465.65 ,"$5,587.80 ",0.104,$1.25 ,,0.001
,4480,$465.95 ,"$5,591.40 ",0.104,$1.25 ,,0.001
,4485,$466.25 ,"$5,595.00 ",0.104,$1.25 ,,0.001
,4490,$466.55 ,"$5,598.60 ",0.104,$1.25 ,,0.001
,4495,$466.85 ,"$5,602.20 ",0.104,$1.25 ,,0.001
,4500,$467.15 ,"$5,605.80 ",0.104,$1.25 ,,0.001
,4505,$467.45 ,"$5,609.40 ",0.104,$1.25 ,,0.001
,4510,$467.75 ,"$5,613.00 ",0.104,$1.24 ,,0.001
,4515,$468.05 ,"$5,616.60 ",0.104,$1.24 ,,0.001
,4520,$468.35 ,"$5,620.20 ",0.104,$1.24 ,,0.001
,4525,$468.65 ,"$5,623.80 ",0.104,$1.24 ,,0.001
,4530,$468.95 ,"$5,627.40 ",0.104,$1.24 ,,0.001
,4535,$469.25 ,"$5,631.00 ",0.103,$1.24 ,,0.001
,4540,$469.55 ,"$5,634.60 ",0.103,$1.24 ,,0.001
,4545,$469.85 ,"$5,638.20 ",0.103,$1.24 ,,0.001
,4550,$470.15 ,"$5,641.80 ",0.103,$1.24 ,,0.001
,4555,$470.45 ,"$5,645.40 ",0.103,$1.24 ,,0.001
,4560,$470.75 ,"$5,649.00 ",0.103,$1.24 ,,0.001
,4565,$471.05 ,"$5,652.60 ",0.103,$1.24 ,,0.001
,4570,$471.35 ,"$5,656.20 ",0.103,$1.24 ,,0.001
,4575,$471.65 ,"$5,659.80 ",0.103,$1.24 ,,0.001
,4580,$471.95 ,"$5,663.40 ",0.103,$1.24 ,,0.001
,4585,$472.25 ,"$5,667.00 ",0.103,$1.24 ,,0.001
,4590,$472.55 ,"$5,670.60 ",0.103,$1.24 ,,0.001
,4595,$472.85 ,"$5,674.20 ",0.103,$1.23 ,,0.001
,4600,$473.15 ,"$5,677.80 ",0.103,$1.23 ,,0.001
,4605,$473.45 ,"$5,681.40 ",0.103,$1.23 ,,0.001
,4610,$473.75 ,"$5,685.00 ",0.103,$1.23 ,,0.001
,4615,$474.05 ,"$5,688.60 ",0.103,$1.23 ,,0.001
,4620,$474.35 ,"$5,692.20 ",0.103,$1.23 ,,0.001
,4625,$474.65 ,"$5,695.80 ",0.103,$1.23 ,,0.001
,4630,$474.95 ,"$5,699.40 ",0.103,$1.23 ,,0.001
,4635,$475.25 ,"$5,703.00 ",0.103,$1.23 ,,0.001
,4640,$475.55 ,"$5,706.60 ",0.102,$1.23 ,,0.001
,4645,$475.85 ,"$5,710.20 ",0.102,$1.23 ,,0.001
,4650,$476.15 ,"$5,713.80 ",0.102,$1.23 ,,0.001
,4655,$476.45 ,"$5,717.40 ",0.102,$1.23 ,,0.001
,4660,$476.75 ,"$5,721.00 ",0.102,$1.23 ,,0.001
,4665,$477.05 ,"$5,724.60 ",0.102,$1.23 ,,0.001
,4670,$477.35 ,"$5,728.20 ",0.102,$1.23 ,,0.001
,4675,$477.65 ,"$5,731.80 ",0.102,$1.23 ,,0.001
,4680,$477.95 ,"$5,735.40 ",0.102,$1.23 ,,0.001
,4685,$478.25 ,"$5,739.00 ",0.102,$1.22 ,,0.001
,4690,$478.55 ,"$5,742.60 ",0.102,$1.22 ,,0.001
,4695,$478.85 ,"$5,746.20 ",0.102,$1.22 ,,0.001
,4700,$479.15 ,"$5,749.80 ",0.102,$1.22 ,,0.001
,4705,$479.45 ,"$5,753.40 ",0.102,$1.22 ,,0.001
,4710,$479.75 ,"$5,757.00 ",0.102,$1.22 ,,0.001
,4715,$480.05 ,"$5,760.60 ",0.102,$1.22 ,,0.001
,4720,$480.35 ,"$5,764.20 ",0.102,$1.22 ,,0.001
,4725,$480.65 ,"$5,767.80 ",0.102,$1.22 ,,0.001
,4730,$480.95 ,"$5,771.40 ",0.102,$1.22 ,,0.001
,4735,$481.25 ,"$5,775.00 ",0.102,$1.22 ,,0.001
,4740,$481.55 ,"$5,778.60 ",0.102,$1.22 ,,0.001
,4745,$481.85 ,"$5,782.20 ",0.102,$1.22 ,,0.001
,4750,$482.15 ,"$5,785.80 ",0.102,$1.22 ,,0.001
,4755,$482.45 ,"$5,789.40 ",0.101,$1.22 ,,0.001
,4760,$482.75 ,"$5,793.00 ",0.101,$1.22 ,,0.001
,4765,$483.05 ,"$5,796.60 ",0.101,$1.22 ,,0.001
,4770,$483.35 ,"$5,800.20 ",0.101,$1.22 ,,0.001
,4775,$483.65 ,"$5,803.80 ",0.101,$1.22 ,,0.001
,4780,$483.95 ,"$5,807.40 ",0.101,$1.21 ,,0.001
,4785,$484.25 ,"$5,811.00 ",0.101,$1.21 ,,0.001
,4790,$484.55 ,"$5,814.60 ",0.101,$1.21 ,,0.001
,4795,$484.85 ,"$5,818.20 ",0.101,$1.21 ,,0.001
,4800,$485.15 ,"$5,821.80 ",0.101,$1.21 ,,0.001
,4805,$485.45 ,"$5,825.40 ",0.101,$1.21 ,,0.001
,4810,$485.75 ,"$5,829.00 ",0.101,$1.21 ,,0.001
,4815,$486.05 ,"$5,832.60 ",0.101,$1.21 ,,0.001
,4820,$486.35 ,"$5,836.20 ",0.101,$1.21 ,,0.001
,4825,$486.65 ,"$5,839.80 ",0.101,$1.21 ,,0.001
,4830,$486.95 ,"$5,843.40 ",0.101,$1.21 ,,0.001
,4835,$487.25 ,"$5,847.00 ",0.101,$1.21 ,,0.001
,4840,$487.55 ,"$5,850.60 ",0.101,$1.21 ,,0.001
,4845,$487.85 ,"$5,854.20 ",0.101,$1.21 ,,0.001
,4850,$488.15 ,"$5,857.80 ",0.101,$1.21 ,,0.001
,4855,$488.45 ,"$5,861.40 ",0.101,$1.21 ,,0.001
,4860,$488.75 ,"$5,865.00 ",0.101,$1.21 ,,0.001
,4865,$489.05 ,"$5,868.60 ",0.101,$1.21 ,,0.001
,4870,$489.35 ,"$5,872.20 ",0.100,$1.21 ,,0.000
,4875,$489.65 ,"$5,875.80 ",0.100,$1.21 ,,0.000
,4880,$489.95 ,"$5,879.40 ",0.100,$1.20 ,,0.000
,4885,$490.25 ,"$5,883.00 ",0.100,$1.20 ,,0.000
,4890,$490.55 ,"$5,886.60 ",0.100,$1.20 ,,0.000
,4895,$490.85 ,"$5,890.20 ",0.100,$1.20 ,,0.000
,4900,$491.15 ,"$5,893.80 ",0.100,$1.20 ,,0.000
,4905,$491.45 ,"$5,897.40 ",0.100,$1.20 ,,0.000
,4910,$491.75 ,"$5,901.00 ",0.100,$1.20 ,,0.000
,4915,$492.05 ,"$5,904.60 ",0.100,$1.20 ,,0.000
,4920,$492.35 ,"$5,908.20 ",0.100,$1.20 ,,0.000
,4925,$492.65 ,"$5,911.80 ",0.100,$1.20 ,,0.000
,4930,$492.95 ,"$5,915.40 ",0.100,$1.20 ,,0.000
,4935,$493.25 ,"$5,919.00 ",0.100,$1.20 ,,0.000
,4940,$493.55 ,"$5,922.60 ",0.100,$1.20 ,,0.000
,4945,$493.85 ,"$5,926.20 ",0.100,$1.20 ,,0.000
,4950,$494.15 ,"$5,929.80 ",0.100,$1.20 ,,0.000
,4955,$494.45 ,"$5,933.40 ",0.100,$1.20 ,,0.000
,4960,$494.75 ,"$5,937.00 ",0.100,$1.20 ,,0.000
,4965,$495.05 ,"$5,940.60 ",0.100,$1.20 ,,0.000
,4970,$495.35 ,"$5,944.20 ",0.100,$1.20 ,,0.000
,4975,$495.65 ,"$5,947.80 ",0.100,$1.20 ,,0.000
,4980,$495.95 ,"$5,951.40 ",0.100,$1.20 ,,0.000
,4985,$496.25 ,"$5,955.00 ",0.100,$1.19 ,,0.000
,4990,$496.55 ,"$5,958.60 ",0.100,$1.19 ,,0.000
,4995,$496.85 ,"$5,962.20 ",0.099,$1.19 ,,0.000
,5000,$497.15 ,"$5,965.80 ",0.099,$1.19 ,,0.000
,5005,$497.45 ,"$5,969.40 ",0.099,$1.19 ,,0.000
,5010,$497.75 ,"$5,973.00 ",0.099,$1.19 ,,0.000
,5015,$498.05 ,"$5,976.60 ",0.099,$1.19 ,,0.000
,5020,$498.35 ,"$5,980.20 ",0.099,$1.19 ,,0.000
,5025,$498.65 ,"$5,983.80 ",0.099,$1.19 ,,0.000
,5030,$498.95 ,"$5,987.40 ",0.099,$1.19 ,,0.000
,5035,$499.25 ,"$5,991.00 ",0.099,$1.19 ,,0.000
,5040,$499.55 ,"$5,994.60 ",0.099,$1.19 ,,0.000
,5045,$499.85 ,"$5,998.20 ",0.099,$1.19 ,,0.000
,5050,$500.15 ,"$6,001.80 ",0.099,$1.19 ,,0.000
,5055,$500.45 ,"$6,005.40 ",0.099,$1.19 ,,0.000
,5060,$500.75 ,"$6,009.00 ",0.099,$1.19 ,,0.000
,5065,$501.05 ,"$6,012.60 ",0.099,$1.19 ,,0.000
,5070,$501.35 ,"$6,016.20 ",0.099,$1.19 ,,0.000
,5075,$501.65 ,"$6,019.80 ",0.099,$1.19 ,,0.000
,5080,$501.95 ,"$6,023.40 ",0.099,$1.19 ,,0.000
,5085,$502.25 ,"$6,027.00 ",0.099,$1.19 ,,0.000
,5090,$502.55 ,"$6,030.60 ",0.099,$1.18 ,,0.000
,5095,$502.85 ,"$6,034.20 ",0.099,$1.18 ,,0.000
,5100,$503.15 ,"$6,037.80 ",0.099,$1.18 ,,0.000
,5105,$503.45 ,"$6,041.40 ",0.099,$1.18 ,,0.000
,5110,$503.75 ,"$6,045.00 ",0.099,$1.18 ,,0.000
,5115,$504.05 ,"$6,048.60 ",0.099,$1.18 ,,0.000
,5120,$504.35 ,"$6,052.20 ",0.099,$1.18 ,,0.000
,5125,$504.65 ,"$6,055.80 ",0.098,$1.18 ,,0.000
,5130,$504.95 ,"$6,059.40 ",0.098,$1.18 ,,0.000
,5135,$505.25 ,"$6,063.00 ",0.098,$1.18 ,,0.000
,5140,$505.55 ,"$6,066.60 ",0.098,$1.18 ,,0.000
,5145,$505.85 ,"$6,070.20 ",0.098,$1.18 ,,0.000
,5150,$506.15 ,"$6,073.80 ",0.098,$1.18 ,,0.000
,5155,$506.45 ,"$6,077.40 ",0.098,$1.18 ,,0.000
,5160,$506.75 ,"$6,081.00 ",0.098,$1.18 ,,0.000
,5165,$507.05 ,"$6,084.60 ",0.098,$1.18 ,,0.000
,5170,$507.35 ,"$6,088.20 ",0.098,$1.18 ,,0.000
,5175,$507.65 ,"$6,091.80 ",0.098,$1.18 ,,0.000
,5180,$507.95 ,"$6,095.40 ",0.098,$1.18 ,,0.000
,5185,$508.25 ,"$6,099.00 ",0.098,$1.18 ,,0.000
,5190,$508.55 ,"$6,102.60 ",0.098,$1.18 ,,0.000
,5195,$508.85 ,"$6,106.20 ",0.098,$1.18 ,,0.000
,5200,$509.15 ,"$6,109.80 ",0.098,$1.17 ,,0.000
,5205,$509.45 ,"$6,113.40 ",0.098,$1.17 ,,0.000
,5210,$509.75 ,"$6,117.00 ",0.098,$1.17 ,,0.000
,5215,$510.05 ,"$6,120.60 ",0.098,$1.17 ,,0.000
,5220,$510.35 ,"$6,124.20 ",0.098,$1.17 ,,0.000
,5225,$510.65 ,"$6,127.80 ",0.098,$1.17 ,,0.000
,5230,$510.95 ,"$6,131.40 ",0.098,$1.17 ,,0.000
,5235,$511.25 ,"$6,135.00 ",0.098,$1.17 ,,0.000
,5240,$511.55 ,"$6,138.60 ",0.098,$1.17 ,,0.000
,5245,$511.85 ,"$6,142.20 ",0.098,$1.17 ,,0.000
,5250,$512.15 ,"$6,145.80 ",0.098,$1.17 ,,0.000
,5255,$512.45 ,"$6,149.40 ",0.098,$1.17 ,,0.000
,5260,$512.75 ,"$6,153.00 ",0.097,$1.17 ,,0.000
,5265,$513.05 ,"$6,156.60 ",0.097,$1.17 ,,0.000
,5270,$513.35 ,"$6,160.20 ",0.097,$1.17 ,,0.000
,5275,$513.65 ,"$6,163.80 ",0.097,$1.17 ,,0.000
,5280,$513.95 ,"$6,167.40 ",0.097,$1.17 ,,0.000
,5285,$514.25 ,"$6,171.00 ",0.097,$1.17 ,,0.000
,5290,$514.55 ,"$6,174.60 ",0.097,$1.17 ,,0.000
,5295,$514.85 ,"$6,178.20 ",0.097,$1.17 ,,0.000
,5300,$515.15 ,"$6,181.80 ",0.097,$1.17 ,,0.000
,5305,$515.45 ,"$6,185.40 ",0.097,$1.17 ,,0.000
,5310,$515.75 ,"$6,189.00 ",0.097,$1.17 ,,0.000
,5315,$516.05 ,"$6,192.60 ",0.097,$1.17 ,,0.000
,5320,$516.35 ,"$6,196.20 ",0.097,$1.16 ,,0.000
,5325,$516.65 ,"$6,199.80 ",0.097,$1.16 ,,0.000
,5330,$516.95 ,"$6,203.40 ",0.097,$1.16 ,,0.000
,5335,$517.25 ,"$6,207.00 ",0.097,$1.16 ,,0.000
,5340,$517.55 ,"$6,210.60 ",0.097,$1.16 ,,0.000
,5345,$517.85 ,"$6,214.20 ",0.097,$1.16 ,,0.000
,5350,$518.15 ,"$6,217.80 ",0.097,$1.16 ,,0.000
,5355,$518.45 ,"$6,221.40 ",0.097,$1.16 ,,0.000
,5360,$518.75 ,"$6,225.00 ",0.097,$1.16 ,,0.000
,5365,$519.05 ,"$6,228.60 ",0.097,$1.16 ,,0.000
,5370,$519.35 ,"$6,232.20 ",0.097,$1.16 ,,0.000
,5375,$519.65 ,"$6,235.80 ",0.097,$1.16 ,,0.000
,5380,$519.95 ,"$6,239.40 ",0.097,$1.16 ,,0.000
,5385,$520.25 ,"$6,243.00 ",0.097,$1.16 ,,0.000
,5390,$520.55 ,"$6,246.60 ",0.097,$1.16 ,,0.000
,5395,$520.85 ,"$6,250.20 ",0.097,$1.16 ,,0.000
,5400,$521.15 ,"$6,253.80 ",0.097,$1.16 ,,0.000
,5405,$521.45 ,"$6,257.40 ",0.096,$1.16 ,,0.000
,5410,$521.75 ,"$6,261.00 ",0.096,$1.16 ,,0.000
,5415,$522.05 ,"$6,264.60 ",0.096,$1.16 ,,0.000
,5420,$522.35 ,"$6,268.20 ",0.096,$1.16 ,,0.000
,5425,$522.65 ,"$6,271.80 ",0.096,$1.16 ,,0.000
,5430,$522.95 ,"$6,275.40 ",0.096,$1.16 ,,0.000
,5435,$523.25 ,"$6,279.00 ",0.096,$1.16 ,,0.000
,5440,$523.55 ,"$6,282.60 ",0.096,$1.15 ,,0.000
,5445,$523.85 ,"$6,286.20 ",0.096,$1.15 ,,0.000
,5450,$524.15 ,"$6,289.80 ",0.096,$1.15 ,,0.000
,5455,$524.45 ,"$6,293.40 ",0.096,$1.15 ,,0.000
,5460,$524.75 ,"$6,297.00 ",0.096,$1.15 ,,0.000
,5465,$525.05 ,"$6,300.60 ",0.096,$1.15 ,,0.000
,5470,$525.35 ,"$6,304.20 ",0.096,$1.15 ,,0.000
,5475,$525.65 ,"$6,307.80 ",0.096,$1.15 ,,0.000
,5480,$525.95 ,"$6,311.40 ",0.096,$1.15 ,,0.000
,5485,$526.25 ,"$6,315.00 ",0.096,$1.15 ,,0.000
,5490,$526.55 ,"$6,318.60 ",0.096,$1.15 ,,0.000
,5495,$526.85 ,"$6,322.20 ",0.096,$1.15 ,,0.000
,5500,$527.15 ,"$6,325.80 ",0.096,$1.15 ,,0.000
,5505,$527.45 ,"$6,329.40 ",0.096,$1.15 ,,0.000
,5510,$527.75 ,"$6,333.00 ",0.096,$1.15 ,,0.000
,5515,$528.05 ,"$6,336.60 ",0.096,$1.15 ,,0.000
,5520,$528.35 ,"$6,340.20 ",0.096,$1.15 ,,0.000
,5525,$528.65 ,"$6,343.80 ",0.096,$1.15 ,,0.000
,5530,$528.95 ,"$6,347.40 ",0.096,$1.15 ,,0.000
,5535,$529.25 ,"$6,351.00 ",0.096,$1.15 ,,0.000
,5540,$529.55 ,"$6,354.60 ",0.096,$1.15 ,,0.000
,5545,$529.85 ,"$6,358.20 ",0.096,$1.15 ,,0.000
,5550,$530.15 ,"$6,361.80 ",0.096,$1.15 ,,0.000
,5555,$530.45 ,"$6,365.40 ",0.095,$1.15 ,,0.000
,5560,$530.75 ,"$6,369.00 ",0.095,$1.15 ,,0.000
,5565,$531.05 ,"$6,372.60 ",0.095,$1.15 ,,0.000
,5570,$531.35 ,"$6,376.20 ",0.095,$1.14 ,,0.000
,5575,$531.65 ,"$6,379.80 ",0.095,$1.14 ,,0.000
,5580,$531.95 ,"$6,383.40 ",0.095,$1.14 ,,0.000
,5585,$532.25 ,"$6,387.00 ",0.095,$1.14 ,,0.000
,5590,$532.55 ,"$6,390.60 ",0.095,$1.14 ,,0.000
,5595,$532.85 ,"$6,394.20 ",0.095,$1.14 ,,0.000
,5600,$533.15 ,"$6,397.80 ",0.095,$1.14 ,,0.000
,5605,$533.45 ,"$6,401.40 ",0.095,$1.14 ,,0.000
,5610,$533.75 ,"$6,405.00 ",0.095,$1.14 ,,0.000
,5615,$534.05 ,"$6,408.60 ",0.095,$1.14 ,,0.000
,5620,$534.35 ,"$6,412.20 ",0.095,$1.14 ,,0.000
,5625,$534.65 ,"$6,415.80 ",0.095,$1.14 ,,0.000
,5630,$534.95 ,"$6,419.40 ",0.095,$1.14 ,,0.000
,5635,$535.25 ,"$6,423.00 ",0.095,$1.14 ,,0.000
,5640,$535.55 ,"$6,426.60 ",0.095,$1.14 ,,0.000
,5645,$535.85 ,"$6,430.20 ",0.095,$1.14 ,,0.000
,5650,$536.15 ,"$6,433.80 ",0.095,$1.14 ,,0.000
,5655,$536.45 ,"$6,437.40 ",0.095,$1.14 ,,0.000
,5660,$536.75 ,"$6,441.00 ",0.095,$1.14 ,,0.000
,5665,$537.05 ,"$6,444.60 ",0.095,$1.14 ,,0.000
,5670,$537.35 ,"$6,448.20 ",0.095,$1.14 ,,0.000
,5675,$537.65 ,"$6,451.80 ",0.095,$1.14 ,,0.000
,5680,$537.95 ,"$6,455.40 ",0.095,$1.14 ,,0.000
